,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
0,3,9,2,1,1,2,156,2,1,0,1,130,1408,0
1,1,16,1,1,1,1,0,1,1,0,0,11,430,1
2,6,22,12,1,2,3,196,2,0,0,1,260,853,0
3,6,16,12,1,2,3,227,3,0,0,0,259,1056,0
4,2,1,1,1,1,1,0,1,1,0,1,27,939,0
5,2,23,0,1,1,1,0,1,1,0,1,0,1048,0
6,6,14,12,1,2,3,196,2,0,0,1,208,696,0
7,6,11,12,1,2,3,196,2,0,0,1,216,775,0
8,8,12,11,1,2,3,150,4,0,0,1,119,1580,0
9,2,30,1,1,1,1,0,1,0,0,1,17,696,0
10,2,0,1,1,1,1,100,1,0,0,1,4,352,0
11,2,14,1,1,1,1,0,1,1,0,1,153,994,1
12,4,4,18,1,0,2,102,1,1,1,1,73,1314,0
13,8,0,1,3,1,7,0,1,0,0,1,0,4303,0
14,4,26,1,1,2,3,0,4,1,0,0,231,1080,0
15,4,11,7,1,1,1,156,2,0,1,1,41,900,0
16,11,8,8,2,3,6,156,5,1,1,1,238,1549,0
17,6,0,7,2,3,3,156,2,0,1,1,100,939,0
18,3,0,1,1,2,2,156,2,1,0,1,22,626,0
19,4,0,2,1,1,2,313,4,1,1,1,34,782,0
20,2,0,2,,1,1,0,1,0,0,0,20,1056,0
21,3,26,18,1,1,1,117,1,1,0,1,15,1001,0
22,10,30,18,3,3,6,141,3,1,1,1,102,2253,0
23,5,16,1,2,3,4,156,2,1,0,1,226,1158,0
24,10,0,1,3,5,5,0,1,0,1,0,2,2504,0
25,1,0,6,1,1,1,80,1,1,0,1,5,297,0
26,1,29,2,1,1,1,0,1,0,0,0,40,485,0
27,2,0,1,1,1,1,0,1,0,0,1,0,1017,0
28,3,26,18,1,1,2,117,1,1,0,1,18,782,0
29,5,21,3,1,1,3,130,2,1,1,1,217,548,0
30,6,7,2,1,2,2,99,4,1,0,1,434,1001,1
31,4,0,1,1,1,2,274,2,1,0,1,10,1244,0
32,2,30,16,1,1,1,0,1,0,0,1,74,383,0
33,3,15,2,2,2,2,0,1,1,0,1,20,1322,0
34,7,18,1,1,3,4,150,5,0,0,1,197,1103,1
35,4,2,4,1,1,2,156,2,1,1,1,170,868,0
36,2,0,1,1,1,1,0,2,0,0,1,0,297,0
37,3,22,1,1,2,2,78,2,1,0,1,60,540,1
38,6,0,2,1,2,2,120,2,1,0,1,30,579,0
39,2,11,7,1,1,1,156,2,0,0,1,20,704,0
40,4,0,1,1,1,2,200,2,1,1,1,189,876,1
41,4,30,2,1,1,1,0,2,1,0,1,8,798,0
42,3,4,2,1,2,2,0,1,0,0,1,12,1001,0
43,2,0,1,1,0,1,200,2,1,0,1,2,751,0
44,2,8,3,1,0,1,0,2,0,1,1,173,540,0
45,2,0,1,1,1,1,0,1,0,0,1,8,876,0
46,1,9,1,1,1,1,0,1,0,0,1,222,258,1
47,8,12,48,3,1,8,900,1,0,1,1,110,172,0
48,8,26,48,3,1,8,900,1,0,1,1,188,282,0
49,8,30,48,3,1,8,900,1,0,1,1,43,282,0
50,8,30,48,3,1,8,900,1,0,1,1,25,282,0
51,8,27,48,3,1,8,900,1,0,1,1,155,282,0
52,8,30,48,3,1,8,900,1,0,1,1,28,282,0
53,5,25,4,1,1,4,385,4,0,1,1,8,1760,1
54,5,15,3,1,1,2,160,2,1,1,1,292,454,0
55,2,30,10,1,1,1,100,1,0,0,1,3,399,0
56,3,26,1,1,0,1,156,2,0,0,1,2,1174,0
57,3,21,4,1,1,1,385,2,0,1,1,22,1158,1
58,3,24,4,1,1,2,385,2,0,1,1,14,876,1
59,2,22,4,1,1,1,0,2,0,1,1,52,642,1
60,5,0,1,2,3,3,400,5,0,0,1,84,1197,0
61,12,13,11,2,3,5,150,6,0,0,1,151,1651,0
62,4,0,1,1,2,3,102,4,0,0,0,11,618,0
63,4,3,4,1,1,1,500,4,0,1,1,379,759,0
64,2,0,1,1,1,1,300,1,0,1,1,28,1197,0
65,10,30,1,1,3,1,180,4,0,0,0,19,1001,0
66,1,13,6,2.5,1,1,230,1,1,1,1,142,227,0
67,6,23,10,1,2,2,150,4,1,0,1,162,1001,0
68,2,12,6,3,1,1,100,1,1,1,1,36,454,0
69,4,30,3,1,1,2,196,2,0,0,0,171,696,0
70,3,30,9,1.5,1,1,150,2,0,0,1,107,297,0
71,2,10,5,1,0,1,0,1,1,0,1,181,853,1
72,3,30,9,1.5,1,1,150,2,0,0,1,150,352,0
73,3,19,9,1.5,1,1,150,2,0,0,1,134,297,0
74,3,30,9,1.5,1,1,150,2,0,0,1,136,297,0
75,2,16,9,1.5,1,1,150,2,0,0,1,207,297,0
76,3,2,1,2,1,2,100,1,0,0,1,0,399,0
77,11,5,8,3,4,7,156,6,1,1,1,244,1862,0
78,6,30,8,1.5,1,4,200,2,0,1,1,0,649,0
79,2,1,9,1.5,1,1,150,2,0,0,1,30,297,0
80,3,0,7,1,1,1,180,2,1,0,1,210,383,0
81,4,20,7,1,1,1,180,2,1,0,1,155,383,0
82,3,1,7,1,1,1,180,2,1,0,1,113,336,0
83,2,27,7,1,1,1,180,2,1,0,1,189,336,0
84,5,14,4,1,1,2,100,2,1,0,1,8,321,0
85,2,1,4,1,1,2,100,2,1,0,1,17,391,0
86,3,30,9,1.5,1,1,150,2,0,0,1,19,501,0
87,5,30,9,1.5,1,1,150,2,0,0,1,24,454,0
88,4,1,9,1.5,1,1,150,2,0,0,1,22,469,0
89,8,12,19,1,2,3,80,3,1,0,0,78,853,0
90,2,16,4,1,1,1,100,2,1,0,1,15,383,0
91,1,2,4,1,1,1,101,1,1,0,1,41,282,0
92,6,27,9,1,2,4,100,4,0,1,1,217,853,0
93,2,0,2,1,1,1,0,1,0,0,1,7,1009,0
94,6,2,6,1,2,2,150,4,1,0,1,171,829,0
95,3,0,1,1,2,2,200,2,1,0,1,14,720,0
96,6,26,6,1,2,2,150,4,1,0,1,154,2003,0
97,1,27,2,1,1,1,0,1,1,0,1,38,352,0
98,7,0,1,2,3,6,156,4,0,0,1,5,5085,0
99,2,0,8,1,1,1,0,1,0,0,1,198,329,0
100,6,10,15,1,2,1,0,1,1,0,1,140,1095,0
101,4,1,1,1,2,3,200,4,1,1,1,320,1346,0
102,1,8,2,1,1,1,0,1,1,1,1,186,117,0
103,6,27,9,1,2,2,100,4,0,1,0,246,1001,0
104,2,30,16,1,1,1,0,1,0,0,1,113,329,0
105,3,0,2,1,2,2,0,3,1,0,0,28,1001,0
106,2,30,1,1,0,2,196,1,1,0,1,20,978,1
107,2,0,1,1,1,1,0,1,0,1,0,0,203,0
108,2,2,1,1,1,1,94,2,0,1,1,36,900,0
109,10,29,4,1,2,3,120,7,0,0,1,71,829,0
110,4,8,19,1,1,1,80,2,1,0,1,91,602,0
111,1,30,9,2,1,1,0,2,0,0,0,173,102,0
112,1,30,9,2,1,1,0,2,0,0,1,132,102,0
113,10,6,8,2,3,6,156,5,1,1,1,240,1706,0
114,3,0,1,1,1,2,240,2,0,0,1,27,767,0
115,3,1,1,1,2,2,141,2,1,0,1,113,665,1
116,1,30,2,1,1,1,0,1,0,1,1,1,399,0
117,3,7,2,1,1,1,100,1,1,0,0,74,782,1
118,2,3,1,1,1,1,203,1,1,0,1,478,305,1
119,3,29,1,1,1,2,100,1,0,0,1,0,501,0
120,1,30,9,1,1,1,300,1,1,0,1,11,876,0
121,8,9,3,1,2,4,150,4,1,1,0,154,1127,0
122,3,22,19,1,1,2,75,2,1,0,1,34,548,0
123,3,0,1,1,1,1,0,1,0,0,1,7,3912,0
124,2,10,2,1,1,1,100,2,0,1,1,51,250,1
125,4,12,3,1,2,2,250,4,0,1,1,285,876,1
126,4,7,1,1,2,2,100,2,1,0,1,3,900,0
127,4,7,3,1,2,2,250,4,0,1,1,320,876,1
128,1,30,142,1,1,1,0,1,0,0,1,2,180,0
129,4,23,1,1,1,2,0,1,1,1,1,2,7824,0
130,4,7,4,1,1,3,78,4,0,0,1,120,360,0
131,2,11,6,1,0,1,40,1,1,1,1,249,462,0
132,8,10,10,1,3,4,100,3,0,1,1,349,1150,1
133,7,10,10,1,2,4,100,3,0,1,1,363,1127,1
134,3,5,2,1,2,2,235,3,1,1,1,56,1134,0
135,2,0,2,1,1,1,117,1,1,1,1,5,383,0
136,2,21,1,1,1,1,150,2,0,0,1,35,837,0
137,5,30,1,1,2,3,100,3,0,0,0,85,978,0
138,2,30,0,1,1,1,0,1,0,0,1,0,1001,0
139,1,30,10,1,1,1,100,1,0,0,1,1,477,0
140,3,30,4,1,0,2,100,1,1,0,1,132,634,0
141,2,29,1,1,0,1,0,1,1,0,1,59,7002,0
142,1,27,14,0,1,4,300,1,0,0,1,91,211,0
143,1,18,14,8,1,1,270,1,0,0,1,110,156,0
144,4,30,15,1,1,2,0,1,1,0,1,47,861,0
145,1,30,1,1,1,1,0,1,0,0,1,66,602,1
146,4,9,1,1,1,1,160,2,1,0,1,136,602,0
147,2,30,1,1,1,2,0,1,0,0,1,0,602,0
148,2,26,18,1,1,1,117,1,1,0,1,15,798,0
149,10,22,18,3,3,6,141,3,1,1,1,56,2801,0
150,1,30,14,8,1,8,260,1,0,0,1,208,149,0
151,6,3,14,1,1,3,150,6,0,0,1,111,696,0
152,2,29,16,1,1,1,0,1,0,0,1,121,344,0
153,2,0,1,1,1,1,0,1,0,0,0,38,688,0
154,5,30,15,,2,1,0,1,1,0,1,41,1095,0
155,5,13,10,1,1,3,100,3,0,1,1,441,978,1
156,12,9,10,2,4,4,100,3,0,1,1,347,1604,1
157,2,6,1,1,1,1,0,1,1,1,0,350,775,0
158,4,19,1,1,2,3,300,4,1,0,1,17,1799,0
159,2,0,1,1,1,1,0,1,0,0,1,1,790,0
160,1,17,142,1,1,1,0,1,0,0,1,1,243,0
161,2,0,14,1,,1,0,1,0,0,1,2,767,1
162,2,10,4,1,1,1,78,1,1,1,1,113,939,0
163,8,11,5,2,3,4,63,1,1,1,1,36,1846,0
164,2,23,13,1,0,2,0,1,1,1,1,87,313,0
165,2,0,14,1,,1,0,1,0,0,1,1,798,1
166,2,30,14,1,,1,0,1,0,0,1,3,798,1
167,2,30,14,1,,1,0,1,0,0,1,4,735,1
168,9,27,2,1,3,3,100,1,1,1,1,48,1197,0
169,1,29,142,,1,1,0,1,0,0,1,1,211,0
170,4,30,4,1,1,2,0,1,0,0,1,62,1299,0
171,3,30,4,1,1,1,200,3,0,0,1,30,1502,0
172,7,17,2,1,1,5,95,2,1,0,0,134,900,1
173,3,30,29,1,2,2,100,2,1,0,1,69,751,0
174,5,8,29,1,2,2,100,4,1,0,1,80,876,0
175,3,11,29,1,2,2,100,2,1,0,1,58,798,0
176,2,0,1,1.5,1,1,0,1,1,0,1,0,329,0
177,3,6,2,1,1,1,150,2,0,0,0,107,767,0
178,3,0,2,1,1,1,150,2,0,0,1,184,947,0
179,4,9,22,1,1,2,50,2,1,1,1,344,642,0
180,2,0,3,1,1,1,0,1,1,0,1,1,931,0
181,6,0,18,1,3,3,117,3,1,1,1,32,1784,0
182,8,0,8,1,2,3,200,2,0,0,1,0,1197,0
183,2,21,1,1,1,1,180,2,0,0,1,60,642,1
184,3,0,1,1,2,2,0,1,1,0,1,6,1001,0
185,3,27,4,1,1,2,100,3,0,0,0,108,1197,1
186,6,0,1,1,1,4,45,4,0,1,0,32,1604,0
187,2,0,1,1,0,1,0,1,1,1,1,92,915,0
188,1,30,1,1,1,1,0,1,0,0,1,1,751,0
189,2,0,14,1,,1,0,1,0,0,1,4,767,1
190,2,0,1,1,0,1,0,1,1,0,1,9,649,0
191,2,0,8,1,1,1,0,1,0,0,1,49,336,0
192,2,0,14,1,,1,0,1,0,0,1,5,735,1
193,7,30,18,3,3,5,141,3,1,0,1,22,2253,0
194,6,0,15,1,2,3,0,1,1,0,1,68,1095,0
195,2,0,1,1,1,2,80,1,0,0,1,3,548,0
196,7,27,2,1,2,4,100,1,1,1,1,201,1119,0
197,2,0,1,1,1,1,0,1,1,0,1,13,751,0
198,3,0,1,1,1,1,1500,3,1,0,0,7,900,0
199,1,18,1,1,1,1,102,1,1,0,1,404,688,1
200,7,30,18,3,3,5,141,3,1,0,1,25,2331,0
201,4,27,7,1,1,2,156,2,0,1,1,95,978,0
202,2,0,14,1,,1,0,1,0,0,0,6,735,1
203,16,28,18,4.5,7,9,117,7,1,0,1,38,4600,0
204,2,0,1,1,0,1,450,2,1,0,1,8,892,0
205,2,0,6,1,1,1,39,2,1,1,1,74,642,0
206,2,7,6,1,0,1,39,2,1,1,1,68,548,0
207,2,10,6,1,0,1,200,2,1,0,1,65,649,0
208,2,0,11,1,1,1,100,2,1,0,1,61,329,0
209,2,30,7,1.5,1,1,0,2,1,0,1,127,2003,0
210,2,30,7,1,0,1,0,2,1,0,1,77,1001,0
211,2,1,3,1,0,1,156,2,0,1,1,115,743,0
212,6,0,1,2,3,4,0,1,0,0,0,8,2746,0
213,4,0,1,1,2,2,0,4,0,0,1,17,3098,0
214,4,5,1,1,2,3,0,1,1,0,1,39,1400,0
215,9,23,14,2,3,5,100,1,1,1,0,27,1479,0
216,6,30,14,1,2,4,100,1,1,1,1,5,978,0
217,6,2,1,2.5,4,4,196,5,0,1,1,12,3521,0
218,2,29,1,1,1,2,0,1,1,0,0,1,243,0
219,4,30,14,1,1,2,0,1,1,0,1,7,587,0
220,2,30,14,1,1,1,100,1,1,0,1,8,391,0
221,6,22,7,1,2,2,120,4,0,0,1,237,1385,0
222,4,30,14,1,1,2,100,1,1,0,0,4,681,0
223,2,0,1,1,1,1,100,1,1,0,1,158,602,0
224,2,29,3,0.5,1,1,140,1,0,0,1,4,399,0
225,2,30,16,1,1,1,0,2,0,0,1,0,2597,0
226,2,30,1,1,1,1,0,1,0,0,0,0,399,0
227,1,22,2,1,1,1,0,1,1,0,0,12,360,0
228,2,27,16,1,1,2,0,1,0,0,1,1,782,0
229,2,30,18,1,1,1,78,1,1,0,1,7,845,0
230,3,30,18,2.5,1,2,78,1,1,0,1,4,767,0
231,2,19,18,2.5,1,1,78,1,1,0,1,21,665,0
232,2,30,18,2.5,1,1,78,1,1,0,1,14,665,0
233,2,30,18,2.5,1,1,78,1,1,0,1,16,610,0
234,2,30,18,1,1,1,78,1,1,0,1,5,876,0
235,3,25,16,1,1,2,0,1,0,0,1,2,892,0
236,3,19,16,1,1,3,0,1,0,0,1,0,947,0
237,2,30,16,1,1,1,0,1,0,0,1,10,602,0
238,2,4,14,1,,1,0,1,0,0,1,8,735,1
239,4,0,1,2,2,2,0,1,1,0,1,1,900,0
240,6,30,15,1,2,3,0,1,1,0,1,73,1095,0
241,3,0,1,1,1,2,0,1,0,0,1,12,407,0
242,4,21,16,1,1,3,0,1,0,0,1,0,649,0
243,2,4,4,1,1,2,55,2,0,0,1,90,250,0
244,5,14,2,1,1,3,569,4,1,0,1,102,587,0
245,2,0,1,1,2,1,0,1,1,0,1,2,720,0
246,2,7,6,1,1,1,0,1,0,0,0,201,383,0
247,2,22,5,1,0,1,0,1,1,0,1,163,853,1
248,2,0,1,1,1,1,0,1,1,0,0,1,853,0
249,3,30,4,1,0,2,100,1,1,0,0,90,681,0
250,2,0,1,1,1,1,0,1,1,0,0,7,696,0
251,2,29,4,1,1,1,150,2,0,0,1,53,227,0
252,2,0,1,1,1,2,0,1,1,0,1,11,1299,0
253,4,2,1,1,1,3,569,4,1,0,0,33,571,0
254,3,0,1,1,1,2,0,1,1,0,1,30,548,0
255,2,0,1,1,1,1,0,1,0,0,0,2,853,0
256,8,16,4,2,3,3,300,4,1,0,1,49,1549,0
257,4,29,18,1,1,1,150,2,1,0,1,74,548,0
258,8,25,8,2,3,5,156,4,1,0,1,193,1393,0
259,2,26,6,1,1,2,39,2,1,0,1,54,618,0
260,2,12,3,1,1,1,0,1,1,1,0,221,477,1
261,3,0,1,1,2,2,0,1,1,0,1,0,947,0
262,2,0,2,1,0,1,0,1,1,1,1,10,548,0
263,2,0,1,1,1,1,0,1,1,0,0,3,376,0
264,4,22,5,1,0,2,50,2,0,1,1,189,696,0
265,6,14,5,1,2,3,100,4,0,1,1,192,900,0
266,2,30,14,1,,1,0,1,0,0,1,5,767,1
267,5,0,1,1,2,3,200,4,1,0,0,9,1197,0
268,3,0,1,1,1,2,0,1,1,0,1,67,649,0
269,2,4,2,1,0,1,0,1,1,0,1,82,947,0
270,1,8,7,1,0,1,0,1,0,0,1,1,282,0
271,6,2,23,1,2,4,100,5,1,0,1,51,1197,0
272,5,0,1,2,3,4,0,1,1,0,0,0,6799,0
273,2,0,1,1,0,2,0,1,0,1,1,4,751,0
274,2,0,1,1,1,1,0,1,0,0,1,0,1604,0
275,5,30,4,1,1,2,250,2,1,0,1,21,900,0
276,10,0,1,2,4,6,0,1,0,0,1,0,1604,0
277,4,0,1,1,2,2,203,4,1,0,1,27,775,0
278,2,0,10,1,1,1,0,1,1,1,0,147,704,0
279,2,0,1,1,1,1,196,2,1,0,1,21,853,0
280,4,18,2,1,0,2,100,2,1,1,1,125,524,0
281,7,0,10,1,2,3,100,3,0,1,1,320,1103,1
282,1,0,1,1,1,1,0,1,0,0,0,17,211,0
283,2,0,1,1,1,1,0,1,1,0,1,0,1001,0
284,2,23,10,1,0,1,199,2,1,1,1,129,571,0
285,6,12,3,1,2,3,250,2,1,1,1,90,1393,1
286,2,29,3,1,1,2,0,1,0,1,1,16,782,0
287,2,30,3,1,1,2,0,2,0,1,1,46,782,0
288,3,30,14,1,1,2,100,1,1,0,0,2,696,0
289,3,0,2,1,2,3,200,2,1,0,1,18,1197,0
290,3,30,18,1,1,1,150,2,1,0,0,100,548,0
291,6,12,1,2,3,4,0,1,1,0,0,5,125,0
292,2,30,1,1,1,1,235,2,0,0,1,20,1956,0
293,2,29,3,1,1,1,0,1,0,0,1,0,282,0
294,1,16,2,1,1,1,0,2,1,0,0,56,391,0
295,2,0,1,1,0,1,0,1,0,0,1,7,548,0
296,2,9,4,1,1,1,0,2,1,0,1,11,282,0
297,3,30,2,1,2,2,0,1,0,0,0,54,2097,1
298,1,30,32,2.5,1,3,0,1,0,1,1,56,125,0
299,6,0,1,2,2,2,50,1,0,0,1,10,1197,0
300,4,0,1,1,1,1,50,2,0,0,1,55,900,0
301,6,5,9,1,2,2,100,4,0,1,1,176,1001,0
302,10,16,8,2,3,6,156,5,1,1,1,149,1549,0
303,6,0,7,1,2,3,90,4,1,1,1,128,1377,0
304,6,2,1,1.5,2,2,94,2,0,0,1,21,1158,0
305,2,28,1,1,2,1,0,1,0,1,0,53,649,0
306,2,28,1,1,1,1,110,2,1,0,0,105,649,0
307,3,30,18,1,1,1,150,2,1,0,0,56,548,0
308,2,30,1,1,0,1,300,1,1,1,1,9,798,0
309,4,21,29,1,1,3,100,2,1,0,1,151,454,0
310,3,8,29,1,1,1,100,2,1,0,1,58,634,0
311,1,23,1,1,1,1,200,1,1,0,1,0,900,0
312,2,4,29,1,1,1,100,2,1,0,1,46,501,0
313,8,11,10,2,3,4,100,3,0,1,0,180,1502,1
314,1,0,1,1,1,1,0,1,1,0,1,17,548,0
315,3,7,22,1,1,2,39,2,1,1,1,271,618,0
316,8,16,15,1,3,4,0,1,1,0,1,135,1408,0
317,4,0,1,1,1,1,100,2,1,0,1,15,751,0
318,6,11,12,1,2,3,156,2,0,0,1,68,853,0
319,3,30,18,2.5,1,2,78,1,1,0,1,8,688,0
320,4,23,1,1,1,1,200,2,1,0,1,57,1189,0
321,10,25,9,1,3,5,100,4,0,1,0,230,1103,0
322,3,0,7,1,1,2,50,2,1,0,1,34,994,1
323,2,0,3,1,0,1,200,2,0,1,1,0,297,0
324,2,0,8,1,1,1,0,1,0,0,1,59,336,0
325,8,5,3,1,2,3,150,4,1,0,1,92,1001,0
326,5,3,1,1,2,4,150,4,1,0,1,283,900,1
327,4,0,1,2,2,2,0,1,0,0,1,14,1189,0
328,9,21,16,2,3,5,0,1,0,0,1,0,2981,0
329,4,0,1,2,3,2,782,1,1,1,1,3,2973,0
330,2,10,6,1,1,1,100,2,1,0,1,55,649,0
331,1,0,2,1,1,1,0,1,1,0,1,13,454,0
332,2,0,1,1,1,1,150,2,1,0,0,7,1001,0
333,2,11,1,1,2,1,200,1,1,0,1,2,250,0
334,2,15,4,1,1,1,100,2,1,0,1,186,430,0
335,2,0,4,1,0,1,0,1,0,0,1,11,2887,0
336,2,0,2,1,1,1,0,1,1,0,1,22,399,0
337,6,5,4,1,2,3,100,4,1,0,1,259,751,0
338,4,30,14,1,1,2,0,1,1,0,0,4,696,0
339,8,5,4,2,3,4,100,6,1,0,1,75,1252,0
340,6,8,4,1,2,3,100,4,1,0,1,211,751,0
341,2,14,1,1,1,2,0,1,1,0,1,49,430,0
342,4,29,4,1,2,2,100,1,1,0,1,5,939,0
343,5,9,1,1,2,3,0,1,1,0,1,14,391,0
344,2,29,1,1,1,1,1000,1,1,0,1,15,798,0
345,2,0,2,,1,,300,1,1,1,0,1,798,0
346,2,30,6,1,1,1,0,2,1,0,1,68,681,1
347,4,0,1,1,1,2,160,2,0,0,1,104,1588,1
348,4,11,3,1,1,1,800,2,1,0,1,5,2903,1
349,2,0,14,1,1,1,0,1,0,0,1,2,798,1
350,4,0,2,1,0,2,50,2,1,0,1,338,728,0
351,2,0,1,1,1,1,0,1,1,0,1,2,790,0
352,2,30,16,1,1,1,0,1,0,0,0,94,376,0
353,8,4,1,2,3,3,0,1,0,1,1,94,1604,0
354,8,4,1,2,3,3,0,1,0,0,0,48,1682,0
355,1,0,3,1,1,1,0,1,0,1,0,162,329,0
356,5,17,2,1,0,1,100,1,0,0,0,5,602,0
357,4,30,1,1,1,2,0,1,1,0,0,0,1956,0
358,4,11,15,1,1,2,0,1,1,0,1,76,900,0
359,1,3,1,2,2,1,0,1,1,0,1,7,501,0
360,2,30,16,1,1,1,0,1,0,0,1,53,352,0
361,3,0,1,1,1,1,0,1,0,0,0,1,759,0
362,6,30,9,1,2,2,180,4,0,0,1,18,970,0
363,4,0,7,1,2,2,0,4,1,0,0,52,501,0
364,3,16,16,1,1,2,0,1,0,0,1,0,649,0
365,2,30,16,1,1,1,0,2,0,0,1,0,3677,0
366,3,12,6,1,0,1,78,2,1,0,1,45,618,0
367,5,21,16,1,2,3,0,1,0,0,1,0,2003,0
368,3,19,3,1,1,1,0,1,1,1,1,50,782,0
369,3,24,2,1,1,1,150,2,1,0,1,27,1784,1
370,3,16,1,1,1,2,300,2,1,1,0,160,571,1
371,4,23,2,1,1,1,0,1,0,0,1,1,696,0
372,2,0,1,1,1,1,200,1,1,0,1,8,1353,0
373,2,28,11,1,1,1,0,1,0,1,1,32,1181,0
374,2,30,25,1,1,2,0,1,1,0,1,6,900,0
375,2,0,1,1,0,1,0,1,1,0,1,4,501,0
376,2,0,1,1,0,1,0,1,1,0,1,7,821,0
377,2,0,101,1,0,1,80,2,0,0,1,6,422,0
378,3,0,1,1,1,1,0,3,0,0,1,5,1299,0
379,2,0,1,1,1,1,50,1,1,0,1,26,743,0
380,3,30,6,1,1,2,0,1,0,1,1,56,485,0
381,2,0,2,1,1,1,99,1,1,1,1,4,501,0
382,2,26,9,1,1,2,800,2,1,1,1,66,602,0
383,2,29,6,1,1,2,0,1,0,1,1,46,540,0
384,2,29,16,1,1,1,0,1,0,0,1,42,422,0
385,2,0,101,1,0,1,0,1,0,0,1,41,368,0
386,3,29,101,1,0,2,80,2,0,0,1,28,516,0
387,6,0,1,2,3,3,0,1,0,0,1,0,696,0
388,6,30,6,1,1,2,300,4,1,0,1,29,1181,1
389,1,0,1,1,1,2,0,1,0,0,1,5,203,0
390,4,0,1,2,2,2,0,1,1,0,0,6,2198,0
391,6,30,9,1,2,2,50,1,0,0,0,10,954,0
392,6,30,9,1,2,2,50,1,0,0,0,9,954,0
393,9,30,9,1,2,4,50,1,0,0,0,7,1158,0
394,1,30,142,1,1,1,0,1,0,0,1,0,282,0
395,3,23,12,1,1,2,78,2,0,0,0,111,642,0
396,6,6,1,2,3,3,0,1,1,0,1,25,2504,0
397,2,26,9,1,1,1,800,2,1,1,1,83,602,0
398,5,10,1,2,3,4,500,5,0,0,1,126,1291,1
399,2,26,9,1,1,2,800,2,1,1,1,83,853,0
400,2,0,9,1,1,1,800,2,1,1,1,30,798,0
401,2,27,9,1,1,2,800,2,1,1,1,41,853,0
402,3,0,12,1,1,2,0,1,0,1,1,49,884,0
403,4,0,0,1,1,2,0,1,1,1,0,18,728,0
404,7,25,13,1,2,4,114,4,1,0,0,19,1353,0
405,7,30,13,1,2,4,114,4,1,1,1,15,1353,0
406,8,0,13,2,3,4,114,4,1,0,1,13,1807,0
407,4,30,19,1,1,2,60,2,1,0,1,82,548,0
408,2,5,12,1,1,1,78,1,0,0,1,34,305,0
409,2,30,12,1,1,1,156,1,0,0,1,18,430,0
410,2,30,12,1,1,1,156,1,0,0,1,11,430,0
411,2,30,12,1,1,1,156,1,0,0,1,14,383,0
412,2,29,1,1,0,1,0,1,1,0,1,6,947,0
413,2,0,1,1,1,2,0,1,0,0,0,76,1017,0
414,6,1,19,3,3,3,150,5,1,0,0,7,1549,1
415,4,30,1,1,1,2,400,3,0,0,0,20,1526,0
416,4,26,2,1,2,2,0,1,0,0,1,95,1197,0
417,2,23,1,1,2,1,0,1,1,0,0,0,853,0
418,6,30,2,1,2,2,0,1,1,1,0,0,986,1
419,4,22,9,1,1,1,100,2,1,1,1,68,1174,0
420,2,24,19,1,1,1,100,2,1,0,1,8,649,1
421,2,28,4,1,1,1,392,2,1,0,1,25,798,0
422,2,1,4,1,0,1,500,2,1,0,1,65,649,0
423,2,0,4,1,0,1,500,2,1,0,1,38,696,0
424,2,0,2,1,1,2,0,1,1,0,1,2,579,0
425,2,1,1,1,1,1,0,2,1,0,1,41,493,0
426,2,0,1,1,2,2,0,1,0,0,1,0,649,0
427,2,30,3,1,1,1,0,1,1,0,1,28,1502,1
428,6,8,1,2,3,4,0,5,1,0,0,12,3497,0
429,2,29,1,1,2,2,157,1,0,1,1,0,602,0
430,4,0,1,1,1,1,0,1,1,0,1,0,1252,0
431,6,2,1,2,2,4,0,1,0,0,1,60,2801,0
432,2,0,1,1,0,1,0,1,1,0,1,18,642,0
433,2,0,1,1,1,1,0,1,0,0,1,1,501,0
434,2,19,1,1,1,1,0,1,1,0,1,11,1001,0
435,2,0,1,1,1,1,0,2,1,1,1,25,994,1
436,2,0,1,1,1,1,100,1,1,0,1,1,602,0
437,5,9,8,2,2,4,156,3,1,1,1,211,1158,0
438,2,11,19,1,1,1,100,1,1,0,1,36,352,1
439,2,30,14,1,0,1,0,1,0,0,1,0,798,1
440,2,0,1,1,2,1,0,1,1,0,1,1,1174,0
441,10,10,4,2,3,3,128,6,0,1,1,185,1870,0
442,2,0,3,1,1,1,500,1,1,0,1,1,1784,0
443,2,24,19,1,1,1,100,1,1,0,1,24,501,1
444,2,24,19,1,1,1,150,1,1,0,1,2,548,1
445,8,24,19,2,3,5,150,4,1,0,1,26,1752,1
446,2,0,1,1,0,1,0,1,1,0,0,1,649,0
447,6,20,5,1,2,3,100,4,0,1,1,180,900,0
448,4,12,5,1,0,2,50,2,0,1,1,176,602,0
449,2,27,6,1,1,1,0,1,0,1,1,194,352,0
450,2,29,6,1,1,2,0,1,0,1,0,38,391,0
451,4,29,7,1,1,2,156,2,0,1,0,24,743,0
452,3,0,1,1,2,2,0,1,1,0,1,3,383,0
453,2,30,28,1,1,1,50,1,0,0,0,74,282,0
454,2,0,1,1,1,1,0,2,0,0,0,18,454,0
455,1,16,14,0,1,3,0,1,0,0,1,23,477,0
456,1,2,2,0.5,1,1,0,1,0,0,0,108,156,1
