,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
7623,2,9,1,1,1,1,0,1,0,0,1,12,798,0
7624,2,2,1,1,0,1,0,1,0,1,1,7,649,0
7625,8,0,10,1,1,2,150,4,1,0,1,26,1385,0
7626,4,0,9,1,2,4,39,1,0,0,0,0,485,0
7627,4,1,9,1,2,6,39,1,0,0,0,3,509,0
7628,1,0,1,1,0,1,0,1,0,0,0,0,227,0
7629,16,17,38,1,3,7,200,6,0,1,1,48,1651,0
7630,3,29,2,1,1,2,180,2,0,1,1,2,1197,0
7631,2,29,219,1,1,1,0,1,0,0,1,0,297,0
7632,2,29,6,1,1,2,0,1,0,1,1,0,399,0
7633,2,4,21,1,0,1,130,1,1,0,0,42,579,0
7634,2,23,13,1,1,1,0,1,0,1,1,2,454,0
7635,2,17,14,1,0,1,0,1,0,1,1,28,900,1
7636,3,22,13,1,1,1,100,2,0,1,1,32,634,0
7637,4,11,13,1,1,2,100,4,0,1,1,31,759,0
7638,5,10,13,1,1,3,100,4,0,1,1,19,798,0
7639,5,4,13,1,1,3,100,4,0,1,1,29,853,0
7640,12,22,20,2,3,6,145,4,0,1,1,24,2386,1
7641,2,8,3,1,1,1,0,1,1,1,1,94,250,1
7642,1,4,3,1,1,1,0,1,1,1,1,46,149,1
7643,2,23,13,1,1,1,800,1,0,1,0,0,454,0
7644,8,17,22,1,3,3,150,5,1,1,1,27,876,0
7645,1,29,219,1,1,1,0,1,0,0,1,0,250,0
7646,1,10,1,1,1,1,0,2,1,1,1,3,1001,0
7647,2,29,219,1,1,1,0,1,0,0,1,0,274,0
7648,1,30,3,2,1,1,350,1,0,0,0,0,203,0
7649,2,0,16,1,1,1,0,2,0,1,0,0,501,0
7650,2,21,17,1,1,1,300,2,1,1,1,15,2996,0
7651,4,29,165,1,2,2,0,1,0,0,0,0,1267,0
7652,4,29,5,1,1,1,40,1,1,1,0,0,900,0
7653,2,19,9,1,1,1,0,1,1,0,0,41,501,0
7654,2,14,1,1,2,2,548,2,0,0,1,18,978,1
